"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","APOB","ARID1A",11,90,8,0.048
"2","APOB","KMT2D",12,102,10,0.068
"3","APOB","TP53",18,174,18,0.276
"4","ARHGAP35","TP53",15,164,11,0.004
"5","ARID1A","ASXL2",11,85,8,0.02
"6","ARID1A","ATM",16,96,12,0.01
"7","ARID1A","BRCA2",12,86,8,0.01
"8","ARID1A","EP300",13,102,12,0.148
"9","ARID1A","ERBB2",17,92,11,0.004
"10","ARID1A","ERBB3",11,101,11,0.242
"11","ARID1A","FBXW7",13,87,9,0.014
"12","ARID1A","HUWE1",11,86,8,0.022
"13","ARID1A","KDM6A",12,123,16,0.704
"14","ARID1A","KMT2A",13,95,11,0.056
"15","ARID1A","KMT2C",17,106,14,0.062
"16","ARID1A","KMT2D",18,128,19,0.346
"17","ARID1A","MACF1",23,104,16,0.004
"18","ARID1A","MED12",11,77,6,0
"19","ARID1A","NCOR1",12,83,8,0.006
"20","ARID1A","NF1",11,86,7,0.01
"21","ARID1A","PIK3CA",17,119,17,0.216
"22","ARID1A","POLQ",12,77,6,0
"23","ARID1A","RB1",15,99,12,0.042
"24","ARID1A","SPTAN1",12,95,10,0.106
"25","ARID1A","TP53",33,182,35,0.398
"26","ARID2","TP53",12,178,14,0.604
"27","ASXL1","KMT2D",11,90,6,0
"28","ASXL2","KMT2D",11,99,9,0.05
"29","ASXL2","MACF1",12,83,8,0.006
"30","ASXL2","PIK3CA",11,88,8,0.028
"31","ASXL2","TP53",15,175,15,0.324
"32","ATM","KMT2C",17,84,10,0.002
"33","ATM","KMT2D",22,98,14,0
"34","ATM","MACF1",19,90,12,0
"35","ATM","PIK3CA",14,103,13,0.126
"36","ATM","TP53",17,192,25,0.972
"37","ATR","TP53",13,175,14,0.396
"38","BRCA2","ERBB3",11,61,5,0
"39","BRCA2","KMT2D",16,92,9,0
"40","BRCA2","MACF1",15,80,8,0
"41","BRCA2","PIK3CA",12,89,8,0.018
"42","BRCA2","TP53",15,178,17,0.528
"43","CACNA1A","TP53",11,175,12,0.442
"44","CDK12","MACF1",14,72,6,0
"45","CDK12","TP53",11,176,13,0.498
"46","CDKN2A","TP53",14,163,9,0.002
"47","CHD4","MACF1",11,82,7,0.01
"48","CHD4","TP53",13,176,14,0.452
