"","gene1","gene2","p.value","q.value"
"11","TP53","CDH1",1.01143977586124e-08,4.43789698811963e-08
"23","TP53","PIK3CA",1.08413450391175e-08,4.43789698811963e-08
"19","TP53","MAP3K1",2.24509456420872e-05,0.00025751975755964
"4","TP53","CBFB",0.000101838664068716,0.0012651276190098
"1","PIK3CA","AKT1",0.000128689519238186,0.0013595135177287
"12","TP53","FOXA1",0.000168167244265254,0.00147717847746464
"2","TP53","AKT1",0.000289827120389488,0.00242516097685935
"3","TP53","ARID1A",0.000300932296215999,0.00242516097685935
"16","TP53","MAP2K4",0.000443976285363092,0.00380272562940087
"22","SPTA1","PIK3CA",0.000604514139957673,0.0045197590930173
"6","KMT2C","CDH1",0.00069282334236351,0.00542256020858698
"9","NF1","CDH1",0.00146802340455719,0.0117667658152816
"20","TP53","NCOR1",0.00152102843851274,0.0117667658152816
"14","TP53","KDM5C",0.00177593386910283,0.0139868624617541
"13","TP53","HUWE1",0.00208975196056616,0.0152720146837887
"17","NCOR1","MAP3K1",0.00212893244978136,0.0152720146837887
"24","TP53","PLCB4",0.00289193303623002,0.0204595820066234
"7","KMT2D","CDH1",0.00297771045984765,0.0204595820066234
"25","TP53","PLXNB2",0.00313633574733248,0.022000133492105
"15","PIK3CA","MACF1",0.00319910280201903,0.022000133492105
"5","HUWE1","CDH1",0.00390115024470401,0.0273324588121711
"10","SPTA1","CDH1",0.00466019769921248,0.0349053736361985
"21","TP53","NF1",0.00483572813012435,0.0349053736361985
"8","MAP3K1","CDH1",0.00515097305994824,0.0349053736361985
"18","PTEN","MAP3K1",0.00535359338345615,0.0357996952038863
