"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","AMER1","PIK3CA",10,288,19,1
"2","APOB","PIK3CA",10,304,34,1
"3","APOB","TP53",16,262,35,1
"4","ARID1A","PIK3CA",10,292,23,1
"5","ATM","PIK3CA",10,291,22,1
"6","ATR","PIK3CA",10,290,21,1
"7","BRCA1","TP53",10,257,18,1
"8","CBFB","PIK3CA",11,288,21,1
"9","CDH1","PIK3CA",27,290,53,1
"10","CHD4","PIK3CA",10,295,26,1
"11","CHD4","TP53",11,263,26,1
"12","DMD","PIK3CA",15,299,39,1
"13","DMD","TP53",17,265,39,1
"14","FAT1","PIK3CA",10,293,24,1
"15","FOXA1","PIK3CA",11,287,20,1
"16","HUWE1","PIK3CA",11,306,38,1
"17","KMT2C","PIK3CA",21,299,50,1
"18","KMT2C","TP53",15,281,49,1
"19","KMT2D","TP53",11,263,26,1
"20","MACF1","TP53",14,266,35,1
"21","MAP2K4","PIK3CA",15,285,26,1
"22","MAP3K1","PIK3CA",16,294,37,1
"23","NCOR1","PIK3CA",18,293,39,1
"24","NF1","PIK3CA",10,299,30,1
"25","PIK3CA","PTPRD",10,297,28,1
"26","PIK3CA","SETD2",10,289,20,1
"27","PIK3CA","SPTA1",12,317,49,1
"28","PIK3CA","TP53",62,424,163,1
"29","SPTA1","TP53",20,271,50,1
"30","TP53","USP9X",12,260,25,1
