"","gene1","gene2","p.value","q.value"
"10","PTEN","IDH1",9.04510187140237e-05,0.0012704085187035
"12","SPTA1","IDH1",0.00018054718788456,0.0012704085187035
"13","PTEN","PIK3CA",0.000180659580202764,0.0012704085187035
"2","IDH1","EGFR",0.000269015036831388,0.00170668521628364
"8","NF1","IDH1",0.000392371220844314,0.00215449487709309
"11","RB1","IDH1",0.000441828453819458,0.00218697678809629
"4","NF1","GABRA6",0.000786738992397212,0.00465438281697791
"9","PIK3CG","IDH1",0.00127012316563262,0.00756395952420307
"3","IDH1","GABRA6",0.00147546436979033,0.00813042185322621
"6","KEL","IDH1",0.00172335013647776,0.0100100323413834
"5","PIK3R1","GABRA6",0.00186380681894163,0.0105733421887022
"1","IDH1","DMD",0.00285733908096416,0.0177326496484666
"7","LZTR1","IDH1",0.0041779141987912,0.0316358711260309
