"","gene1","gene2","p.value","q.value"
"6","TP53","CIC",3.32245325115374e-14,1.12139271620921e-13
"7","IDH1","EGFR",2.82972597982805e-11,7.00751557767015e-11
"12","IDH2","IDH1",8.96244840556458e-10,1.61422198751731e-09
"9","TP53","EGFR",2.92422374365481e-07,5.04678267717496e-07
"15","PTEN","IDH1",2.71314046374437e-05,6.09263891051496e-05
"14","NF1","IDH1",0.000125123726219499,0.00042577845583525
"2","CIC","ATRX",0.000368560752843034,0.00137372218564154
"18","TP53","IDH2",0.000432785972991237,0.0015605749986474
"11","TP53","FUBP1",0.00115630331381505,0.00410282811541749
"3","EGFR","ATRX",0.00158492582762065,0.00651675888070926
"20","TP53","PIK3CA",0.0028423469186648,0.0118418307248643
"21","TP53","PTEN",0.00380041979103251,0.0161174419682902
"8","IDH2","EGFR",0.00401607723166928,0.0161174419682902
"13","MUC6","IDH1",0.00549843670673044,0.0272876026217002
"5","EGFR","CIC",0.0065331848618808,0.0307673188253192
"1","IDH2","APOB",0.00868456505528291,0.0420632063586431
"19","TP53","NF1",0.00905773609206605,0.0420632063586431
"10","ZBTB20","EGFR",0.00979950564208808,0.0451469757054067
"16","NF1","IDH2",0.0103758166734127,0.0499815856246344
"17","SMARCA4","IDH2",0.0113942590341106,0.0499815856246344
"4","PIK3CA","ATRX",0.0117110288929518,0.0499815856246344
