"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","ALK","APOB",16,114,11,0
"2","ALK","DMD",11,105,10,0.03
"3","ALK","MACF1",13,72,7,0
"4","ALK","PTPRD",11,103,10,0.026
"5","ALK","SPTA1",18,143,14,0.002
"6","ALK","TP53",19,221,19,0.09
"7","AMER1","APOB",13,120,11,0.014
"8","AMER1","DMD",17,93,9,0
"9","AMER1","ERBB4",12,63,6,0
"10","AMER1","PTPRD",14,97,10,0
"11","AMER1","SETBP1",12,76,7,0
"12","AMER1","SPTA1",17,145,14,0
"13","AMER1","TP53",23,213,19,0.002
"14","APC","TP53",12,222,13,0.19
"15","APOB","ARID2",12,114,9,0.002
"16","APOB","ATRX",15,117,11,0.002
"17","APOB","BRAF",14,113,10,0.002
"18","APOB","CACNA1A",12,117,10,0.014
"19","APOB","CARD11",13,116,10,0.004
"20","APOB","COL5A1",19,108,12,0
"21","APOB","DMD",31,137,23,0
"22","APOB","EPHA3",21,116,14,0
"23","APOB","ERBB4",20,119,14,0.002
"24","APOB","FAT1",21,121,15,0
"25","APOB","FLNA",14,119,11,0.012
"26","APOB","FLT3",11,108,7,0
"27","APOB","GABRA6",20,110,12,0
"28","APOB","HGF",24,109,14,0
"29","APOB","HUWE1",16,122,13,0.01
"30","APOB","KEAP1",34,130,23,0
"31","APOB","KEL",12,121,11,0.03
"32","APOB","KIF1A",18,111,12,0
"33","APOB","KMT2A",13,112,9,0.002
"34","APOB","KMT2C",18,117,13,0
"35","APOB","KMT2D",12,130,13,0.148
"36","APOB","KRAS",30,161,28,0.026
"37","APOB","MACF1",27,116,17,0
"38","APOB","MED12",12,126,12,0.066
"39","APOB","NF1",15,130,14,0.036
"40","APOB","NIPBL",11,111,8,0.004
"41","APOB","NOTCH2",13,110,9,0.002
"42","APOB","NSD1",11,106,7,0
"43","APOB","PDGFRA",14,128,13,0.036
"44","APOB","PIK3CG",18,112,12,0.002
"45","APOB","PLCB4",19,107,11,0
"46","APOB","POLE",14,109,9,0
"47","APOB","POLQ",14,114,10,0
"48","APOB","PTPRC",17,120,13,0.004
"49","APOB","PTPRD",34,129,22,0
"50","APOB","SETBP1",20,132,17,0.004
"51","APOB","SMAD4",11,107,7,0
"52","APOB","SMARCA4",15,124,13,0.012
"53","APOB","SPTA1",55,141,35,0
"54","APOB","TLR4",26,121,18,0
"55","APOB","TP53",63,205,50,0
"56","APOB","ZFHX3",13,110,9,0.002
"57","AR","TP53",11,217,10,0.026
"58","ARID1A","SPTA1",12,144,10,0.012
"59","ARID1A","TP53",12,224,14,0.246
"60","ARID2","TP53",12,227,16,0.47
"61","ATM","KRAS",15,117,11,0
"62","ATM","SPTA1",16,145,13,0.01
"63","ATR","SPTA1",12,144,10,0.012
"64","ATR","TP53",16,216,14,0.006
"65","ATRX","DMD",17,94,10,0
"66","ATRX","PTPRD",12,102,10,0.014
"67","ATRX","SPTA1",17,146,14,0.002
"68","ATRX","TP53",22,216,20,0.012
"69","BCOR","TP53",13,219,13,0.088
"70","BRAF","SPTA1",15,144,12,0.004
"71","BRAF","TP53",13,228,17,0.526
"72","BRCA1","TP53",11,221,12,0.148
"73","CACNA1A","SPTA1",15,144,12,0.004
"74","CACNA1A","TP53",14,226,17,0.346
"75","CARD11","SPTA1",13,149,13,0.052
"76","CARD11","TP53",17,221,17,0.102
"77","CHD4","TP53",11,219,11,0.084
"78","CHD8","DMD",11,92,7,0
"79","CNBD1","DMD",11,86,5,0
"80","COL5A1","DMD",11,105,10,0.02
"81","COL5A1","MACF1",12,74,7,0
"82","COL5A1","PTPRC",11,60,6,0
"83","COL5A1","SPTA1",17,145,14,0.004
"84","COL5A1","TP53",25,209,19,0
"85","CREBBP","SPTA1",13,141,10,0
"86","CREBBP","TP53",17,213,14,0.002
"87","DACH1","MACF1",11,64,5,0
"88","DACH1","SPTA1",12,143,10,0.012
"89","DACH1","TP53",14,219,14,0.072
"90","DHX9","SPTA1",11,137,8,0.002
"91","DIAPH2","DMD",11,86,6,0
"92","DIAPH2","SPTA1",11,138,8,0
"93","DIAPH2","TP53",11,218,10,0.026
"94","DMD","EPHA3",19,101,12,0
"95","DMD","ERBB4",18,104,12,0
"96","DMD","FAT1",15,114,13,0.02
"97","DMD","FLNA",15,98,10,0
"98","DMD","GABRA6",17,97,10,0
"99","DMD","HGF",15,108,12,0.004
"100","DMD","HUWE1",15,105,11,0
"101","DMD","KEAP1",18,143,19,0.16
"102","DMD","KEL",12,102,9.04999999999995,0.01
"103","DMD","KIF1A",12,104,10,0.002
"104","DMD","KMT2C",12,110,12,0.062
"105","DMD","KRAS",24,154,24,0.056
"106","DMD","MACF1",14,123,14,0.082
"107","DMD","MED12",16,99,11,0
"108","DMD","MGA",11,104,9,0.008
"109","DMD","NF1",17,107,12,0.002
"110","DMD","PDGFRA",16,105,11.05,0
"111","DMD","PIK3CG",15,99,10,0.002
"112","DMD","PTPRC",16,103,11,0
"113","DMD","PTPRD",33,112,19,0
"114","DMD","SETBP1",20,113,15,0
"115","DMD","SMARCA4",12,111,11,0.046
"116","DMD","SPTA1",38,156,29,0
"117","DMD","TAF1",11,87,6,0
"118","DMD","TBX3",12,89,7,0
"119","DMD","TLR4",21,112,15,0
"120","DMD","TP53",48,216,42,0.002
"121","EGFR","TP53",24,215,21,0.008
"122","EPHA3","FAT1",12,79,8,0
"123","EPHA3","KRAS",12,137,14,0.27
"124","EPHA3","MACF1",12,86,9,0.002
"125","EPHA3","PIK3CG",11,66,7,0
"126","EPHA3","PTPRD",12,113,12,0.058
"127","EPHA3","SETBP1",12,88,9,0.004
"128","EPHA3","SPTA1",20,151,17,0.002
"129","EPHA3","TLR4",12,89,9,0.002
"130","EPHA3","TP53",30,211,24,0.002
"131","ERBB4","GABRA6",12,67,7,0
"132","ERBB4","KEAP1",12,115,12,0.084
"133","ERBB4","KRAS",20,122,14,0
"134","ERBB4","MACF1",12,87,9,0.002
"135","ERBB4","PDGFRA",12,73,7,0
"136","ERBB4","PTPRD",22,94,12,0
"137","ERBB4","SETBP1",11,91,9,0.012
"138","ERBB4","SPTA1",20,152,17,0.008
"139","ERBB4","TLR4",15,84,10,0
"140","ERBB4","TP53",31,210,25,0.002
"141","FAM46D","TP53",11,218,11,0.052
"142","FAT1","GABRA6",11,73,7,0
"143","FAT1","KEAP1",11,121,12,0.216
"144","FAT1","KRAS",11,144,15,0.554
"145","FAT1","MACF1",15,85,10,0
"146","FAT1","PIK3CG",11,71,7,0
"147","FAT1","PTPRD",18,106,13,0
"148","FAT1","SPTA1",27,142,18,0
"149","FAT1","TLR4",12,94,10,0.014
"150","FAT1","TP53",28,220,27,0.034
"151","FLNA","SPTA1",15,150,14,0.038
