"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","ABL1","ALK",2,25,9,1
"2","ABL1","APOB",3,97,10,1
"3","ABL1","ARHGAP35",2,33,9,1
"4","ABL1","ARID2",2,31,9,1
"5","ABL1","ATM",3,36,10,1
"6","ABL1","BCOR",2,22,9,1
"7","ABL1","BRCA1",3,23,9,1
"8","ABL1","CACNA1A",3,37,10,1
"9","ABL1","CDKN2A",4,61,10,1
"10","ABL1","CHD8",3,22,9,1
"11","ABL1","CTNND1",2,19,8,1
"12","ABL1","CUL3",2,27,9,1
"13","ABL1","ERBB2",2,16,7,1
"14","ABL1","ERBB4",2,53,10,1
"15","ABL1","FAT1",3,67,10,1
"16","ABL1","FLNA",2,36,10,1
"17","ABL1","FLT3",2,26,9,1
"18","ABL1","HLA-A",2,13,6,1
"19","ABL1","HUWE1",3,48,10,1
"20","ABL1","IRF6",2,20,8,1
"21","ABL1","KEAP1",2,57,10,1
"22","ABL1","KMT2A",2,36,10,1
"23","ABL1","KMT2C",2,60,10,1
"24","ABL1","KMT2D",4,87,10,1
"25","ABL1","MECOM",3,21,9,1
"26","ABL1","MED12",2,31,9,1
"27","ABL1","MYH9",3,34,10,1
"28","ABL1","PBRM1",3,14,7,1
"29","ABL1","PIK3CG",2,60,10,1
"30","ABL1","RAC1",2,13,6,1
"31","ABL1","SPTA1",2,117,10,1
"32","ABL1","TP53",8,317,10,1
"33","ABL1","USP9X",3,26,9,1
"34","ABL1","ZFHX3",2,49,10,1
"35","ACVR1","APOB",2,94,5,1
"36","ACVR1","DMD",3,72,5,1
"37","ACVR1","INPPL1",2,15,5,1
"38","ACVR1","KMT2D",2,86,5,1
"39","ACVR1","PIK3CG",2,55,5,1
"40","ACVR1","TP53",4,320,5,1
"41","ACVR1B","ALK",2,25,9,1
"42","ACVR1B","APOB",2,99,10,1
"43","ACVR1B","ARID1A",2,28,9,1
"44","ACVR1B","ARID2",2,31,9.04999999999995,1
"45","ACVR1B","ATM",2,38,10,1
"46","ACVR1B","ATR",2,32,9.04999999999995,1
"47","ACVR1B","CARD11",3,20,9,1
"48","ACVR1B","CDKN2A",2,65,10,1
"49","ACVR1B","CYSLTR2",3,15,8,1
"50","ACVR1B","DACH1",3,25,9,1
