"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","ALB","ARID2",2,2,2,1
"2","ALK","TP53",2,66,3,1
"3","AMER1","TP53",2,67,4,1
"4","APC","APOB",2,12,5,1
"5","APC","ATM",2,7,4,1
"6","APC","DMD",2,13,5,1
"7","APC","FLNA",2,10,5,1
"8","APC","KIT",2,6,4,1
"9","APC","PBRM1",2,4,3,1
"10","APC","PLXNB2",2,6,4,1
"11","APC","POLQ",2,4,3,1
"12","APC","TP53",2,68,5,1
"13","APC","ZFHX3",2,7,5,1
"14","APOB","ARHGAP35",2,11,4,1
"15","APOB","ATRX",2,27,10,1
"16","APOB","DICER1",2,11,4,1
"17","APOB","KIF1A",2,12,5,1
"18","APOB","KIT",2,12,5,1
"19","APOB","KMT2B",2,9,2,1
"20","APOB","MACF1",2,18,8,1
"21","APOB","MECOM",2,10,3,1
"22","APOB","MGA",2,11,4,1
"23","APOB","NSD1",2,9,2,1
"24","APOB","PLCB4",2,11,4,1
"25","APOB","PLXNB2",2,12,5,1
"26","APOB","POLQ",3,8,3,1
"27","APOB","PTPRD",2,9,2,1
"28","APOB","TP53",4,70,11,1
"29","APOB","WHSC1",2,11,4,1
"30","APOB","ZFHX3",2,13,6,1
"31","ARHGAP35","MACF1",2,11,4,1
"32","ARHGAP35","NSD1",2,2,2,1
"33","ARHGAP35","PLXNB2",2,5,4,1
"34","ARHGAP35","POLQ",2,3,3,1
"35","ARHGAP35","TP53",2,67,4,1
"36","ARID1A","MGA",2,3,3,1
"37","ARID2","ZFHX3",2,6,4,1
"38","ATM","ATR",2,6,4,1
"39","ATM","DMD",2,14,6,1
"40","ATM","FAT1",2,11,6,1
"41","ATM","FGFR3",2,4,2,1
"42","ATM","GABRA6",2,4,2,1
"43","ATM","KEL",2,8,5,1
"44","ATM","KIT",2,7,4,1
"45","ATM","MECOM",2,5,3,1
"46","ATM","PBRM1",2,5,3,1
"47","ATM","PLXNB2",2,7,4.04999999999995,1
"48","ATM","TCF12",2,4,2,1
"49","ATM","TP53",2,69,6,1
"50","ATM","ZFHX3",2,8,5,1
"51","ATM","ZMYM3",2,5,3,1
"52","ATR","TP53",2,67,4,1
"53","ATRX","RB1",2,31,11.05,1
"54","ATRX","TP53",5,77,19,1
"55","BRCA2","KMT2D",2,3,2,1
"56","BRCA2","TP53",2,65,2,1
"57","CACNA1A","FAT1",2,11,5.04999999999995,1
"58","CACNA1A","TAF1",2,5,3,1
"59","CACNA1A","WHSC1",2,6,4,1
"60","CARD11","TP53",2,66,3,1
"61","CHEK2","DIAPH2",2,2,3,1
"62","CHEK2","KMT2D",2,4,3,1
"63","CHEK2","RB1",2,14,3,1
"64","CTNND1","KMT2A",2,4,4,1
"65","DIAPH2","RB1",2,14,3,1
"66","DIAPH2","TP53",2,66,3,1
"67","DICER1","NF1",2,4,4,1
"68","DICER1","TP53",2,67,4,1
"69","DMD","KMT2C",2,13,5,1
"70","DMD","PBRM1",2,11,3,1
"71","DMD","PLXNB2",2,13,5,1
"72","DMD","RB1",2,23,9,1
"73","DMD","TP53",3,73,12,1
"74","DMD","ZFHX3",2,14,6,1
"75","DNMT3A","TP53",2,65,2,1
"76","EPHA2","PLCB4",2,2,2,1
"77","EPHA3","TP53",2,68,5,1
"78","ERBB4","PTPN11",2,4,2,1
"79","ERBB4","TP53",2,69,6,1
"80","FAM46D","TP53",2,66,3,1
"81","FAT1","FGFR3",2,7,2,1
