"","gene1","gene2","p.value","q.value"
"5","NRAS","BRAF",4.41271780799966e-35,9.7734045608997e-35
"4","NF1","BRAF",4.84739858295149e-06,0.00168292626633884
"10","PTEN","NRAS",1.19835545196328e-05,0.00325392344792515
"8","NRAS","KIT",5.40007406663794e-05,0.0144561914451786
"9","POLE","NRAS",7.70336546242346e-05,0.0179922855054676
"2","COL5A1","BRAF",0.000162123795444706,0.0327869525313905
"1","BRAF","ALK",0.000168288854710036,0.0327869525313905
"7","NRAS","CHD8",0.000206052687417048,0.0351079072830785
"3","MACF1","BRAF",0.000218195439783841,0.0351079072830785
"6","TLR4","BRAF",0.000274422030441672,0.0416138369822099
