"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","ABL1","APOB",12,178,13,0.108
"2","ABL1","BRAF",18,212,15,0.002
"3","ABL1","COL5A1",10,100,8,0.008
"4","ABL1","KEL",15,86,8,0
"5","ABL1","KMT2D",10,81,7,0.002
"6","ABL1","PLCB4",10,108,8,0.018
"7","ABL1","PTPRD",10,109,8,0.004
"8","ABL1","SPTA1",15,135,11,0.002
"9","ABL1","ZFHX3",13,67,6,0
"10","ALB","ALK",17,74,10,0
"11","ALB","APC",11,65,7,0.002
"12","ALB","APOB",35,156,23,0
"13","ALB","ARID2",14,82,10,0.002
"14","ALB","ASXL2",11,56,6,0
"15","ALB","ATR",10,72,8,0.002
"16","ALB","BRAF",21,230,28,0.782
"17","ALB","BRCA2",12,65,8,0
"18","ALB","CACNA1A",22,85,13,0
"19","ALB","CARD11",20,77,11,0
"20","ALB","CHD4",13,63,8,0
"21","ALB","CHD8",11,64,7,0
"22","ALB","COL5A1",21,102,14,0
"23","ALB","DMD",13,76,9,0.002
"24","ALB","EGFR",15,66,8,0
"25","ALB","EPHA3",17,74,10,0
"26","ALB","ERBB4",21,95,13,0
"27","ALB","FAT1",12,87,10,0.02
"28","ALB","FGFR2",12,65,7,0.002
"29","ALB","FLNA",10,60,6,0
"30","ALB","GABRA6",14,71,9,0
"31","ALB","IL7R",18,82,11,0
"32","ALB","IRF6",10,61,6,0
"33","ALB","KEL",21,98,14,0
"34","ALB","KIF1A",11,62,7,0
"35","ALB","KMT2B",14,65,8,0
"36","ALB","KMT2C",13,81,10,0.006
"37","ALB","KMT2D",16,93,11,0
"38","ALB","MACF1",18,94,13,0
"39","ALB","MECOM",20,110,15,0
"40","ALB","MET",12,72,9,0.004
"41","ALB","MGA",10,75,8,0.012
"42","ALB","MUC6",10,61,6,0.002
"43","ALB","MYH9",10,61,6,0
"44","ALB","NF1",13,88,11,0.008
"45","ALB","NOTCH2",10,65,7,0.002
"46","ALB","NRAS",14,145,18,0.368
"47","ALB","NSD1",10,61,7,0
"48","ALB","PDGFRA",10,77,8,0.012
"49","ALB","PLCB4",20,112,15,0
"50","ALB","PLXNB2",10,60,6,0
"51","ALB","POLQ",10,70,8,0.006
"52","ALB","PTPRC",16,80,10,0
"53","ALB","PTPRD",24,105,15,0
"54","ALB","SETBP1",12,82,10,0.014
"55","ALB","SPTA1",31,127,20,0
"56","ALB","TLR4",16,88,11,0
"57","ALB","TP53",12,80,10,0.008
"58","ALB","ZFHX3",21,75,11,0
"59","ALK","AMER1",11,74,8,0.002
"60","ALK","APC",13,75,9,0
"61","ALK","APOB",42,156,29,0
"62","ALK","ARID2",19,86,13,0
"63","ALK","ASXL2",12,68,7.04999999999995,0
"64","ALK","ATR",14,78,9,0
"65","ALK","ATRX",12,71,8,0
"66","ALK","BRAF",23,240,36,0.968
"67","ALK","BRCA2",12,79,9,0.002
"68","ALK","CACNA1A",29,85,16,0
"69","ALK","CARD11",18,95,14,0.002
"70","ALK","CHD4",17,69,9,0
"71","ALK","CHD8",12,76,9,0.002
"72","ALK","COL5A1",30,98,18,0
"73","ALK","CREBBP",14,78,9,0.002
"74","ALK","DICER1",16,65,8,0
"75","ALK","DMD",11,94,11,0.084
"76","ALK","EGFR",18,74,10.05,0
"77","ALK","EPHA2",11,69,7,0.002
"78","ALK","EPHA3",17,88,12,0.002
"79","ALK","ERBB4",27,97,17,0
"80","ALK","FAT1",19,87,12.05,0
"81","ALK","FGFR2",14,75,9,0
"82","ALK","FLNA",14,66,7,0
"83","ALK","FLT3",14,82,10,0
"84","ALK","GABRA6",16,81,11,0.002
"85","ALK","HGF",13,70,8,0
"86","ALK","HUWE1",15,77,10,0
"87","ALK","IL7R",24,84,14,0
"88","ALK","IRF6",17,61,8,0
"89","ALK","JAK3",11,60,6,0
"90","ALK","KEL",26,102,17,0
"91","ALK","KIF1A",12,74,8,0
"92","ALK","KMT2A",12,97,12,0.074
"93","ALK","KMT2B",18,71,10,0
"94","ALK","KMT2C",18,85,12,0
"95","ALK","KMT2D",28,83,15,0
"96","ALK","MACF1",31,82,16,0
"97","ALK","MECOM",24,116,18,0.002
"98","ALK","MET",15,80,10,0
"99","ALK","MGA",12,85,10,0.016
"100","ALK","MTOR",15,71,9,0
"101","ALK","MUC6",11,73,8,0.002
"102","ALK","NF1",20,88,13,0
"103","ALK","NIPBL",11,71,8,0.002
"104","ALK","NOTCH2",11,77,8,0.002
"105","ALK","NRAS",23,141,22,0.028
"106","ALK","NSD1",12,71,8,0
"107","ALK","PDGFRA",20,71,10,0
"108","ALK","PIK3CG",18,67,9,0
"109","ALK","PLCB4",28,110,19,0
"110","ALK","PLXNB2",13,68,8,0
"111","ALK","POLE",12,75,9,0.004
"112","ALK","POLQ",13,78,9,0.002
"113","ALK","PTPRC",20,86,13,0.002
"114","ALK","PTPRD",31,105,18,0
"115","ALK","RAF1",10,57,4,0
"116","ALK","RET",11,73,8,0.002
"117","ALK","SETBP1",25,70,12,0
"118","ALK","SMARCA4",13,74,9,0
"119","ALK","SPTA1",41,121,24,0
"120","ALK","SPTAN1",14,64,7,0
"121","ALK","TET2",11,63,6,0
"122","ALK","TLR4",25,84,14.05,0
"123","ALK","TP53",15,88,12,0.006
"124","ALK","WHSC1",10,62,5,0
"125","ALK","WT1",10,65,6,0
"126","ALK","ZFHX3",20,91,13,0
