"","gene1","gene2","p.value","q.value"
"10","TP53","ERBB3",2.66667678860881e-08,9.93363716403488e-07
"2","TP53","ARID1A",7.20457462644056e-08,1.45544971349294e-06
"15","TP53","KMT2D",5.74252701126941e-07,1.57858826461804e-05
"18","TP53","PIK3CA",1.12585250545659e-06,2.67512695932646e-05
"21","ZBTB20","TP53",2.05638484497737e-05,0.000930502966587884
"6","TP53","CDH1",7.38769774433453e-05,0.00341806499694915
"16","TP53","KRAS",0.000111518015354458,0.00544424863316567
"22","ZFHX3","TP53",0.000145205047586775,0.00686671232458934
"8","TP53","DMD",0.000225238868354735,0.0111248808986278
"13","TP53","KMT2C",0.000275155089424583,0.0135567684301788
"5","TLR4","CDH1",0.000379471149974964,0.0178968324491389
"7","TP53","CTNNB1",0.000571674109362043,0.0265995113663773
"9","TP53","ERBB2",0.000648507272595839,0.0287273257689904
"19","SPTA1","PTEN",0.00066175248248308,0.0287273257689904
"1","SPTA1","ARID1A",0.000675732055766304,0.0287273257689904
"3","TP53","ARID2",0.000773123904196575,0.0316708834768423
"17","SPTA1","LATS1",0.000982960768216376,0.0420511527351058
"14","TLR4","KMT2D",0.00101672713444973,0.0420511527351058
"12","TP53","KMT2B",0.00111638527066956,0.0446887422411125
"20","TP53","SETBP1",0.00114303582927631,0.0446887422411125
"4","TP53","CARD11",0.00125600213826984,0.0474015069198249
"11","TP53","FBXW7",0.00125600213826984,0.0474015069198249
