"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","ABL1","AMER1",4,19,2,0
"2","ABL1","APC",3,44,3,0.058
"3","ABL1","ARID1A",6,53,3,0
"4","ABL1","ATF7IP",3,18,1,0.002
"5","ABL1","ATM",4,34,2,0.004
"6","ABL1","AXIN1",3,21,1,0.004
"7","ABL1","BAP1",4,14,1,0
"8","ABL1","BRCA2",4,26,2,0
"9","ABL1","CARD11",3,33,2,0.036
"10","ABL1","CDK12",3,20,1,0.006
"11","ABL1","CDKN2A",3,24,2,0.002
"12","ABL1","CHD3",4,23,2,0
"13","ABL1","CREBBP",4,39,2,0.004
"14","ABL1","CUL1",3,22,2,0.004
"15","ABL1","DICER1",3,22,2,0.004
"16","ABL1","DMD",5,53,3,0.002
"17","ABL1","EGFR",6,20,2,0
"18","ABL1","EP300",4,25,2,0
"19","ABL1","EPHA3",3,28,2,0.022
"20","ABL1","ERBB2",3,25,2,0.02
"21","ABL1","ERBB3",4,42,3,0.006
"22","ABL1","ERCC2",3,13,1,0
"23","ABL1","FAT1",4,45,3,0.01
"24","ABL1","FBXW7",3,33,2,0.032
"25","ABL1","FGFR2",3,21,1,0.01
"26","ABL1","FGFR3",3,15,1,0
"27","ABL1","FLNA",3,42,2,0.042
"28","ABL1","HGF",3,22,2,0.006
"29","ABL1","HUWE1",5,39,3,0
"30","ABL1","IRF2",3,21,2,0.004
"31","ABL1","JAK2",3,19,2,0.006
"32","ABL1","JAK3",3,16,1,0.006
"33","ABL1","KANSL1",3,19,1,0.006
"34","ABL1","KMT2A",6,37,3,0
"35","ABL1","KMT2C",3,52,3,0.098
"36","ABL1","KMT2D",4,48,3,0.02
"37","ABL1","LATS2",4,18,1,0
"38","ABL1","MACF1",4,54,3,0.026
"39","ABL1","MAP2K4",3,11,1,0
"40","ABL1","MGA",4,30,2,0.002
"41","ABL1","MTOR",5,32,2,0
"42","ABL1","MUC6",3,37,2,0.022
"43","ABL1","MYH9",3,34,2,0.026
"44","ABL1","NCOR1",4,34,2,0.008
"45","ABL1","NIPBL",5,39,3,0.004
"46","ABL1","NOTCH1",5,29,2,0
"47","ABL1","NOTCH2",3,33,2,0.014
"48","ABL1","NUP133",3,19,2,0.002
"49","ABL1","PDGFRA",3,24,2,0.004
"50","ABL1","PGR",3,27,2,0.008
"51","ABL1","PIK3CA",3,59,3,0.148
"52","ABL1","PIK3CG",4,32,2,0
"53","ABL1","PLCG1",4,22,2,0
"54","ABL1","PLXNB2",5,24,2,0
"55","ABL1","POLE",4,25,2,0
"56","ABL1","POLQ",3,29,2,0.012
"57","ABL1","PTPRC",4,27,2,0.002
"58","ABL1","PTPRD",5,41,2,0
"59","ABL1","RASA1",4,19,1,0
"60","ABL1","RPL22",3,9,1,0
"61","ABL1","SETBP1",3,42,2.04999999999995,0.05
"62","ABL1","SIN3A",3,21,2,0.006
"63","ABL1","SOS1",3,16,1,0.002
"64","ABL1","SPTA1",3,83,4,0.248
"65","ABL1","TAF1",4,19,1,0
"66","ABL1","THRAP3",3,17,1,0
"67","ABL1","TP53",4,154,6,0.508
"68","ABL1","TSC2",4,26,2,0.002
"69","ABL1","WHSC1",3,26,2,0.01
"70","ABL1","ZFHX3",4,40,2,0.008
"71","ACVR1","BCOR",3,24,1,0
"72","ACVR1","EP300",3,22,1,0
"73","ACVR1","KMT2A",4,36,2,0
"74","ACVR1","KMT2C",3,47,2,0.002
"75","ACVR1","MACF1",3,51,2,0.012
"76","ACVR1","POLQ",3,24,1,0.002
"77","ACVR1","TP53",3,151,4,0.244
"78","ACVR1","TSC2",3,23,1,0.002
"79","ACVR1B","APC",3,46,3,0.08
"80","ACVR1B","APOB",3,57,3,0.152
"81","ACVR1B","AR",3,33,2,0.04
"82","ACVR1B","ARID1A",4,59,4,0.064
"83","ACVR1B","ARID2",4,34,2,0.01
"84","ACVR1B","AXIN1",3,23,2,0.016
"85","ACVR1B","BRCA2",3,30,2,0.028
"86","ACVR1B","CDH1",4,41,3,0.03
"87","ACVR1B","CDK12",3,22,2,0.006
"88","ACVR1B","CREBBP",3,43,3,0.058
"89","ACVR1B","EGFR",5,24,2,0
"90","ACVR1B","EP300",4,27,2,0.002
"91","ACVR1B","EPHA2",3,29,2,0.02
"92","ACVR1B","ERBB2",3,27,2,0.016
"93","ACVR1B","ERBB4",3,55,3,0.14
"94","ACVR1B","FAT1",5,45,3,0.002
"95","ACVR1B","FBXW7",3,35,3,0.054
"96","ACVR1B","FGFR1",5,20,2,0
"97","ACVR1B","FLNA",3,44,3,0.088
"98","ACVR1B","GNAS",3,28,2,0.026
"99","ACVR1B","GRIN2D",3,17,1,0.002
"100","ACVR1B","HUWE1",3,45,3,0.1
"101","ACVR1B","INPPL1",3,21,2,0.006
"102","ACVR1B","KMT2A",5,41,3,0.004
"103","ACVR1B","KMT2B",3,33,2,0.038
"104","ACVR1B","KMT2C",5,50,3,0.002
"105","ACVR1B","KMT2D",3,52,3,0.116
"106","ACVR1B","LATS1",3,24,2,0.008
"107","ACVR1B","MACF1",4,56,3,0.042
"108","ACVR1B","MAP3K4",3,25,2,0.02
"109","ACVR1B","MET",3,16,1,0.002
"110","ACVR1B","MGA",3,34,3,0.06
"111","ACVR1B","MTOR",3,38,2,0.042
"112","ACVR1B","MUC6",3,39,2,0.048
"113","ACVR1B","MYH9",3,36,2,0.034
"114","ACVR1B","NIPBL",4,43,3,0.006
"115","ACVR1B","NOTCH1",4,33,2,0.002
"116","ACVR1B","NOTCH2",3,35,2,0.038
"117","ACVR1B","PIK3CA",4,59,4,0.068
"118","ACVR1B","PLCG1",3,26,2,0.014
"119","ACVR1B","POLQ",3,31,2,0.032
"120","ACVR1B","RET",4,19,1,0
"121","ACVR1B","SETBP1",6,38,3,0
"122","ACVR1B","SIN3A",3,23,2,0.012
"123","ACVR1B","TCF7L2",3,21,1,0.002
"124","ACVR1B","TP53",4,156,7,0.678
"125","ACVR1B","TSC2",4,28,2,0
"126","ACVR1B","ZBTB20",4,28,2,0.004
"127","ACVR1B","ZFHX3",5,40,3,0.002
"128","ACVR2A","ARID1A",3,57,3,0.066
"129","ACVR2A","CHD4",3,35,2,0.016
"130","ACVR2A","HUWE1",3,41,2,0.03
"131","ACVR2A","KMT2A",3,41,2,0.02
"132","ACVR2A","KMT2B",4,27,2,0
"133","ACVR2A","KMT2C",3,50,2.04999999999995,0.05
"134","ACVR2A","MTOR",3,34,2,0.014
"135","ACVR2A","NF1",4,28,2,0
"136","ACVR2A","RHOA",4,19,1,0.002
"137","ACVR2A","TP53",3,154,5,0.528
