"","gene1","gene2","p.value","q.value"
"209","TP53","CTNNB1",3.00018996398897e-34,4.4419914391295e-32
"527","TP53","PTEN",2.54299892874188e-27,5.88647624879472e-25
"54","TP53","ARID1A",4.04225831761391e-25,9.31366634714921e-23
"383","TP53","KRAS",2.20844052356964e-23,5.16874330829004e-21
"157","TP53","CTCF",8.50893342994785e-21,2.48130754590748e-18
"199","PPP2R1A","CTNNB1",3.95271995140421e-16,2.05834745411977e-13
"407","TP53","MED12",5.01880430512181e-15,2.71216779534069e-12
"355","TP53","KMT2D",1.90661273601506e-14,9.55219021008931e-12
"289","TP53","FGFR2",2.93203661110854e-14,1.38293796425711e-11
"91","TP53","BCOR",3.71163277095635e-14,1.58170295762404e-11
"392","TP53","MACF1",1.00397776932037e-13,4.22618638826272e-11
"350","TP53","KMT2B",1.40716106893801e-13,5.54071084096846e-11
"340","TP53","KIF1A",2.42812287419553e-13,9.31479671781521e-11
"267","TP53","FAT1",3.10273351700518e-13,1.09540918398241e-10
"589","ZFHX3","TP53",3.23929866896744e-13,1.09540918398241e-10
"246","TP53","EP300",3.54533616670733e-13,1.13162828604775e-10
"41","TP53","APOB",5.32389730861313e-13,1.63060734818293e-10
"470","TP53","PIK3R1",6.09229818355953e-13,1.75881783419024e-10
"142","TP53","COL5A1",8.99361738539501e-13,2.564931986535e-10
"487","PTEN","PPP2R1A",9.99662368332173e-13,2.73727742619328e-10
"179","KRAS","CTNNB1",2.51043222406235e-12,6.99174714843306e-10
"115","TP53","CCND1",3.64241465151281e-12,9.92053037277316e-10
"372","PPP2R1A","KRAS",4.74342755790195e-12,1.24079464145754e-09
"567","TP53","SPTA1",8.38360811100597e-12,2.16589125444301e-09
"570","TP53","TAF1",8.72031917303211e-12,2.1871670111695e-09
"352","TP53","KMT2C",1.22121858327696e-11,2.98944242239579e-09
"73","TP53","ATRX",1.95515433143196e-11,4.74494601989842e-09
"232","TP53","DMD",2.02637318228447e-11,4.74494601989842e-09
"45","TP53","AR",2.09487482434943e-11,4.74494601989842e-09
"411","TP53","MGA",4.24507854906848e-11,9.99010411117604e-09
"432","TP53","NFE2L2",4.37326103298132e-11,9.99010411117604e-09
"67","TP53","ATM",4.94489992243e-11,1.09500194409452e-08
"272","PPP2R1A","FBXW7",8.34572696360163e-11,1.85898655975401e-08
"131","TP53","CHD4",1.0830467274819e-10,2.36397523841346e-08
"38","TP53","APC",1.10986940382616e-10,2.36397523841346e-08
"317","TP53","HUWE1",1.14263812177504e-10,2.37321710653092e-08
"552","TP53","SIN3A",1.18258841701268e-10,2.39479412462758e-08
"583","USP9X","TP53",1.22084528551938e-10,2.39479412462758e-08
"426","TP53","NCOR1",2.64387315655602e-10,5.35491203859899e-08
"454","TP53","PDS5B",2.96593336178244e-10,5.96459326597916e-08
"123","TP53","CHD3",3.16553774053851e-10,6.13866526482926e-08
"58","TP53","ARID5B",3.2095761539798e-10,6.13866526482926e-08
"418","TP53","MTOR",3.53519159404804e-10,6.63866186380328e-08
