"","gene1","gene2","co_occurance","mutual_exclusion","co_cut","pval"
"1","ACVR2A","HUWE1",41,64,13,0
"2","ALK","ATRX",42,59,14,0
"3","ALK","BCOR",41,68,15,0
"4","ALK","DMD",45,74,16,0
"5","ALK","FAT1",46,74,17,0
"6","ALK","HUWE1",45,68,16,0
"7","ALK","KMT2C",43,68,16,0
"8","ALK","KMT2D",45,81,18,0
"9","ALK","MACF1",43,85,18,0
"10","ALK","NCOR1",41,50,12.05,0
"11","ALK","PIK3CA",45,210,33,0
"12","ALK","POLE",42,58,13,0
"13","ALK","PTEN",47,213,34,0
"14","ALK","SPTA1",42,68,15,0
"15","AMER1","ARHGAP35",41,70,15,0
"16","AMER1","ARID1A",42,123,22.05,0
"17","AMER1","ATRX",43,64,15,0
"18","AMER1","CHD3",41,59,14,0
"19","AMER1","CHD4",43,96,19,0
"20","AMER1","DMD",46,79,18,0
"21","AMER1","FAT1",46,81,19,0
"22","AMER1","HUWE1",46,73,17.05,0
"23","AMER1","KMT2C",47,67,17,0
"24","AMER1","KMT2D",44,90,19.05,0
"25","AMER1","MACF1",48,82,19,0
"26","AMER1","PIK3CA",49,209,36,0
"27","AMER1","POLE",45,59,15,0
"28","AMER1","PTEN",51,212,37,0
"29","AMER1","SPTA1",43,73,17,0
"30","AMER1","TAF1",44,79,17.05,0
"31","AMER1","USP9X",43,66,16,0
"32","AMER1","ZFHX3",42,75,17,0
"33","APC","APOB",52,55,17,0
"34","APC","ARHGAP35",44,70,17,0
"35","APC","ARID1A",48,117,25,0
"36","APC","ARID2",42,50,13,0
"37","APC","ARID5B",42,52,13,0
"38","APC","ATM",51,55,17,0
"39","APC","ATR",43,48,13,0
"40","APC","ATRX",53,50,16,0
"41","APC","BCOR",47,69,17,0
"42","APC","BRCA2",49,47,15,0
"43","APC","CACNA1A",45,48,14,0
"44","APC","CHD3",44,59,15,0
"45","APC","CHD4",43,102,21,0
"46","APC","CHD8",43,56,14,0
"47","APC","COL5A1",41,64,15,0
"48","APC","DIAPH2",41,53,13,0
"49","APC","DICER1",43,58,15,0
"50","APC","DMD",55,67,20,0
"51","APC","ERBB4",43,54,14,0
"52","APC","FAT1",57,65,20,0
"53","APC","FBXW7",41,93,19,0
"54","APC","FLNA",47,67,17,0
"55","APC","HUWE1",54,63,18,0
"56","APC","KMT2A",47,49,14,0
"57","APC","KMT2B",42,77,17,0
